0,1,2
7,20,15
20,8,24
20,6,22
30,5,8
34,3,27
25,5,20
15,12,20
30,4,20
10,12,20
20,12,11
30,34,20
20,34,24
2,34,15
22,20,17
20,7,22
14,20,22
20,14,24
8,34,20
20,4,31
6,20,5
20,6,7
20,6,24
20,6,15
25,20,1
1,15,20
28,27,5
28,4,17
13,20,9
18,20,27
25,20,27
20,5,27
33,2,20
20,33,3
34,9,3
9,34,20
20,9,5
11,3,34
20,19,9
17,20,29
20,34,12
20,30,8
2,26,20
27,20,2
27,20,21
22,3,33
20,22,11
20,15,0
20,5,15
6,20,24
2,3,18
30,34,20
20,3,34
16,12,11
16,34,15
28,4,11
11,20,3
20,30,3
9,6,20
4,20,22
22,4,20
20,17,15
34,2,3
16,10,33
0,34,15
20,10,34
20,9,18
33,20,27
20,31,21
20,19,30
33,20,3
24,20,25
20,34,30
4,30,11
20,5,31
12,15,16
20,22,4
31,20,4
25,20,3
8,20,33
33,8,4
6,20,4
10,17,4
16,10,12
17,4,20
19,20,16
12,28,14
20,27,26
14,20,17
8,30,11
20,19,17
14,15,20
14,12,20
12,11,20
12,27,11
20,24,8
14,23,4
3,20,6
29,8,15
20,6,5
1,17,12
30,5,11
20,22,24
3,30,34
20,26,22
29,20,10
6,31,4
8,9,3
34,9,3
20,22,4
25,20,12
30,20,5
0,20,32
6,4,22
3,34,15
28,20,5
10,11,20
2,33,20
25,20,31
34,3,20
20,28,4
24,20,15
33,4,20
2,20,15
9,34,32
34,5,15
21,8,23
34,9,20
5,34,11
12,23,15
9,34,5
14,15,13
20,24,9
17,20,15
23,20,6
34,32,9
17,29,10
23,11,4
3,0,11
20,24,0
10,16,15
20,24,4
28,20,2
19,20,8
28,4,16
20,21,15
22,20,4
20,15,24
20,5,6
26,4,17
9,18,34
20,12,25
25,11,20
11,6,13
20,4,33
8,20,3
8,20,3
34,3,8
17,22,4
4,20,12
12,20,22
4,28,27
8,9,19
21,20,5
20,15,25
15,12,23
20,7,4
1,15,0
6,21,15
19,4,10
20,24,15
29,20,31
20,31,24
20,30,24
21,12,20
7,20,30
13,15,12
14,20,6
31,20,24
20,25,4
19,6,20
30,5,20
31,20,30
18,20,4
11,9,6
14,20,17
20,0,28
30,4,31
14,20,12
21,20,17
15,34,20
19,20,28
28,20,12
20,4,7
33,22,8
20,22,4
26,15,25
30,20,31
20,7,30
12,11,0
34,28,7
30,3,8
26,17,22
20,28,7
31,20,4
28,0,12
24,31,14
28,5,3
3,8,32
22,5,20
14,22,20
6,9,4
2,34,5
20,15,12
28,4,5
28,20,4
14,20,0
5,20,34
16,8,18
10,20,2
17,4,20
20,10,30
6,34,12
18,20,11
29,28,16
22,20,31
20,22,25
20,2,34
3,32,5
10,20,4
20,16,31
12,11,16
23,20,11
22,20,33
20,11,2
2,33,20
17,4,22
8,20,22
19,20,2
14,20,15
20,22,7
21,24,12
19,17,28
15,20,24
12,0,11
16,0,15
22,20,17
15,20,24
6,5,11
21,12,1
28,20,29
25,26,12
12,27,15
20,12,15
21,17,20
25,5,27
4,31,9
15,12,1
16,10,20
20,15,31
30,20,22
6,20,22
4,22,26
4,20,28
4,14,28
28,4,20
10,16,20
29,31,20
21,20,4
15,10,20
15,19,12
14,20,22
7,20,34
15,34,20
21,20,15
4,33,20
19,9,20
24,20,22
20,4,7
34,10,16
0,20,5
20,23,6
29,20,16
15,20,19
16,17,20
18,7,20
11,20,5
20,1,0
20,9,22
20,5,3
11,0,13
15,20,30
20,24,22
11,27,15
22,20,15
24,30,20
11,32,0
31,30,4
11,32,0
20,21,22
12,15,32
20,6,4
28,4,20
22,20,31
31,20,12
2,18,25
15,28,20
20,19,5
25,5,4
15,34,24
3,11,5
15,24,14
24,20,4
15,0,20
12,20,25
25,12,15
15,12,11
12,11,5
25,12,15
11,25,20
20,17,29
20,6,11
20,15,7
20,5,22
20,10,33
11,28,4
0,32,20
28,20,4
31,20,21
16,20,4
20,24,15
24,34,20
28,4,20
20,3,5
18,20,15
12,5,11
2,20,26
16,17,10
20,11,22
20,8,19
22,4,19
21,15,20
31,20,5
18,20,10
22,20,12
20,27,9
18,20,24
28,20,16
14,4,17
34,7,20
18,20,24
20,8,27
20,22,24
16,20,4
19,20,5
4,30,31
30,20,4
4,24,20
18,4,5
9,20,25
24,20,30
20,24,15
6,22,5
33,20,4
12,11,20
20,14,4
20,28,8
17,20,15
33,2,20
14,20,15
8,20,22
7,20,5
20,12,5
31,20,4
22,4,20
11,20,5
20,33,10
11,14,5
14,34,12
29,3,5
28,22,5
31,22,20
29,8,17
29,20,17
30,15,31
6,20,11
20,1,27
16,18,8
16,5,20
20,17,21
20,25,17
6,22,5
17,20,11
21,5,26
6,20,11
24,27,10
27,20,9
31,20,24
20,24,19
18,8,34
19,8,20
15,34,5
6,20,15
21,5,20
5,10,34
15,12,17
5,24,30
17,19,20
30,20,31
0,22,20
15,30,20
27,20,0
33,20,10
24,27,11
11,22,20
19,8,20
20,33,3
28,4,22
17,5,15
17,5,20
4,29,11
17,20,4
6,20,5
32,20,11
30,15,12
3,20,34
26,4,5
20,15,11
2,20,32
28,20,12
4,0,20
11,22,20
4,31,20
8,3,20
18,34,20
20,11,5
3,34,2
3,34,11
19,15,20
8,9,5
27,20,2
1,20,26
28,8,33
19,20,15
7,20,5
7,5,3
15,5,1
18,16,34
20,12,15
11,5,3
22,3,4
20,15,16
12,15,23
3,20,11
8,19,22
20,8,9
25,3,20
17,22,27
20,5,9
20,16,8
6,32,20
20,12,26
2,20,22
5,25,11
0,9,5
9,3,20
17,20,12
7,27,20
5,20,22
30,11,4
24,20,30
4,26,22
0,15,32
20,33,2
8,20,30
31,30,20
33,2,20
26,20,15
10,3,20
34,32,11
11,5,20
20,22,4
10,20,27
17,20,31
8,20,34
34,5,32
8,33,20
15,12,34
27,5,20
20,22,19
3,34,15
18,20,16
22,20,34
3,9,11
4,14,31
17,19,20
16,31,20
17,29,20
26,20,27
9,13,20
30,20,31
20,28,12
26,20,15
15,12,31
6,20,5
6,32,11
15,34,8
13,31,0
34,9,5
34,3,0
5,22,11
11,12,5
28,4,8
20,5,24
18,30,20
11,20,5
15,12,23
4,31,26
30,20,5
16,30,4
22,25,20
20,9,11
26,4,22
25,20,14
9,20,3
31,22,4
14,20,5
2,20,15
3,5,22
27,11,28
4,30,8
15,5,20
4,20,15
15,6,20
9,5,30
27,8,20
8,5,34
11,32,5
22,20,4
20,22,31
34,5,16
12,5,11
28,4,22
3,34,20
20,5,3
16,4,34
15,12,34
34,11,32
32,3,11
28,20,4
16,8,30
21,20,4
15,34,1
20,32,12
20,15,24
5,2,9
11,24,12
9,0,3
0,12,15
20,24,6
16,20,29
27,23,4
9,5,32
8,20,28
12,34,15
19,20,5
26,11,17
31,20,4
15,3,18
16,20,10
15,34,16
34,7,20
6,34,30
21,4,20
17,20,15
31,4,34
33,2,4
20,2,5
30,5,20
15,1,25
15,2,8
30,20,27
20,27,19
2,20,15
20,4,2
2,4,20
4,31,20
34,32,9
20,18,15
20,4,6
32,3,20
12,5,11
8,20,3
11,20,3
13,5,11
2,20,22
20,7,26
26,4,2
15,20,31
25,20,3
21,34,20
6,4,20
29,20,24
20,17,15
5,20,25
6,20,30
19,20,5
18,29,20
20,21,17
8,20,33
2,20,22
5,21,20
17,26,15
12,24,20
11,27,25
10,34,13
5,9,32
28,19,8
14,12,25
34,13,20
7,15,20
20,3,12
32,20,5
7,11,5
2,20,27
20,17,15
22,17,20
18,10,20
12,1,20
20,2,3
31,32,5
8,20,30
31,11,5
29,20,22
21,20,12
34,2,22
5,4,22
20,5,32
1,15,11
4,20,22
20,29,17
4,20,22
20,5,21
34,20,9
9,5,20
29,20,3
34,9,11
15,14,8
4,25,11
20,2,22
29,20,3
20,7,5
10,15,1
2,33,18
18,20,5
29,20,3
8,20,4
33,5,27
5,20,7
24,20,9
0,15,12
2,20,33
11,20,24
22,20,4
29,20,5
20,6,11
28,20,4
20,22,14
23,11,5
16,34,5
20,5,9
8,20,3
14,20,4
26,27,20
6,20,5
29,14,4
20,9,7
12,25,17
9,20,5
4,20,5
7,20,34
26,2,7
20,24,22
6,5,27
30,3,20
29,20,18
28,4,6
30,33,18
4,20,27
18,20,3
16,13,4
34,3,20
29,20,8
10,11,3
20,6,34
15,11,23
32,20,6
24,15,20
28,33,20
26,22,4
33,17,2
5,15,11
29,8,20
