0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
"(0.032, 'war')","(0.127, 'woman')","(0.029, 'patient')","(0.017, 'country')","(0.012, 'kind')","(0.03, 'work')","(0.029, 'datum')","(0.061, 'school')","(0.033, 'water')","(0.029, 'money')","(0.032, 'human')","(0.045, 'people')","(0.03, 'story')","(0.021, 'people')","(0.054, 'music')","(0.022, 'life')","(0.022, 'tree')","(0.02, 'body')","(0.053, 'food')","(0.068, 'car')","(0.058, 'thing')","(0.066, 'game')","(0.029, 'technology')","(0.05, 'book')","(0.025, 'film')","(0.032, 'feel')","(0.095, 'brain')","(0.02, 'science')","(0.025, 'planet')","(0.033, 'ocean')","(0.06, 'city')","(0.025, 'art')","(0.023, 'government')","(0.052, 'cell')","(0.042, 'world')"
"(0.013, 'kill')","(0.058, 'man')","(0.025, 'cancer')","(0.016, 'world')","(0.01, 'structure')","(0.019, 'time')","(0.021, 'information')","(0.054, 'kid')","(0.029, 'energy')","(0.028, 'company')","(0.031, 'animal')","(0.018, 'world')","(0.021, 'world')","(0.018, 'black')","(0.054, 'sound')","(0.017, 'family')","(0.02, 'forest')","(0.011, 'hand')","(0.027, 'plant')","(0.033, 'fly')","(0.037, 'people')","(0.049, 'play')","(0.028, 'computer')","(0.048, 'word')","(0.019, 'movie')","(0.028, 'people')","(0.015, 'neuron')","(0.016, 'people')","(0.025, 'universe')","(0.026, 'fish')","(0.032, 'building')","(0.024, 'image')","(0.018, 'country')","(0.02, 'dna')","(0.039, 'people')"
"(0.012, 'conflict')","(0.035, 'girl')","(0.023, 'disease')","(0.015, 'change')","(0.01, 'form')","(0.018, 'people')","(0.02, 'internet')","(0.038, 'student')","(0.014, 'oil')","(0.023, 'business')","(0.017, 'specie')","(0.014, 'human')","(0.016, 'god')","(0.017, 'police')","(0.036, 'play')","(0.016, 'child')","(0.014, 'find')","(0.011, 'leg')","(0.026, 'eat')","(0.02, 'drive')","(0.022, 'lot')","(0.023, 'good')","(0.022, 'machine')","(0.045, 'language')","(0.014, 'story')","(0.021, 'experience')","(0.011, 'memory')","(0.015, 'question')","(0.017, 'space')","(0.021, 'water')","(0.022, 'design')","(0.019, 'work')","(0.016, 'power')","(0.017, 'gene')","(0.037, 'country')"
"(0.012, 'refugee')","(0.02, 'sex')","(0.02, 'health')","(0.011, 'China')","(0.009, 'system')","(0.012, 'change')","(0.015, 'people')","(0.031, 'child')","(0.012, 'carbon')","(0.017, 'market')","(0.009, 'evolution')","(0.012, 'social')","(0.014, 'life')","(0.015, 'law')","(0.028, 'hear')","(0.016, 'time')","(0.01, 'specie')","(0.011, 'walk')","(0.014, 'grow')","(0.014, 'road')","(0.02, 'kind')","(0.019, 'yeah')","(0.022, 'design')","(0.04, 'write')","(0.011, 'character')","(0.021, 'life')","(0.009, 'consciousness')","(0.012, 'study')","(0.016, 'star')","(0.019, 'sea')","(0.022, 'build')","(0.014, 'create')","(0.014, 'political')","(0.014, 'body')","(0.017, 'India')"
"(0.011, 'military')","(0.014, 'boy')","(0.017, 'doctor')","(0.01, 'growth')","(0.009, 'pattern')","(0.009, 'problem')","(0.013, 'phone')","(0.03, 'teacher')","(0.011, 'climate')","(0.014, 'pay')","(0.009, 'find')","(0.011, 'idea')","(0.013, 'man')","(0.014, 'prison')","(0.023, 'song')","(0.012, 'mother')","(0.009, 'river')","(0.009, 'time')","(0.012, 'farmer')","(0.012, 'vehicle')","(0.02, 'time')","(0.016, 'player')","(0.02, 'robot')","(0.03, 'read')","(0.01, 'book')","(0.018, 'love')","(0.009, 'sleep')","(0.011, 'answer')","(0.014, 'light')","(0.013, 'coral')","(0.018, 'place')","(0.014, 'light')","(0.013, 'democracy')","(0.013, 'life')","(0.014, 'child')"
"(0.01, 'soldier')","(0.013, 'gender')","(0.016, 'drug')","(0.01, 'time')","(0.009, 'work')","(0.009, 'good')","(0.012, 'online')","(0.026, 'education')","(0.01, 'fuel')","(0.013, 'buy')","(0.008, 'male')","(0.01, 'society')","(0.011, 'great')","(0.011, 'violence')","(0.018, 'listen')","(0.011, 'home')","(0.009, 'land')","(0.009, 'foot')","(0.012, 'bee')","(0.01, 'ant')","(0.019, 'talk')","(0.016, 'win')","(0.017, 'human')","(0.012, 'letter')","(0.01, 'medium')","(0.012, 'happy')","(0.008, 'cell')","(0.01, 'problem')","(0.012, 'life')","(0.012, 'animal')","(0.016, 'space')","(0.013, 'artist')","(0.01, 'people')","(0.011, 'human')","(0.012, 'poor')"
"(0.01, 'weapon')","(0.011, 'female')","(0.014, 'care')","(0.01, 'economic')","(0.009, 'understand')","(0.008, 'create')","(0.009, 'technology')","(0.025, 'learn')","(0.01, 'power')","(0.012, 'product')","(0.008, 'dog')","(0.01, 'thing')","(0.008, 'live')","(0.01, 'crime')","(0.016, 'voice')","(0.01, 'story')","(0.008, 'world')","(0.008, 'head')","(0.01, 'feed')","(0.01, 'airplane')","(0.018, 'work')","(0.012, 'number')","(0.015, 'build')","(0.011, 'speak')","(0.009, 'tv')","(0.01, 'happiness')","(0.008, 'body')","(0.01, 'find')","(0.011, 'time')","(0.011, 'shark')","(0.015, 'people')","(0.011, 'project')","(0.01, 'citizen')","(0.011, 'genetic')","(0.012, 'community')"
"(0.01, 'Afghanistan')","(0.01, 'gay')","(0.013, 'medical')","(0.009, 'economy')","(0.009, 'thing')","(0.008, 'life')","(0.008, 'open')","(0.022, 'teach')","(0.01, 'gas')","(0.01, 'create')","(0.007, 'evolve')","(0.009, 'culture')","(0.008, 'love')","(0.01, 'man')","(0.009, 'instrument')","(0.01, 'love')","(0.008, 'mountain')","(0.008, 'arm')","(0.008, 'farm')","(0.01, 'flight')","(0.018, 'start')","(0.012, 'card')","(0.011, 'world')","(0.01, 'sentence')","(0.008, 'play')","(0.01, 'emotion')","(0.008, 'mind')","(0.01, 'scientist')","(0.011, 'galaxy')","(0.009, 'boat')","(0.012, 'live')","(0.011, 'picture')","(0.009, 'public')","(0.011, 'molecule')","(0.009, 'live')"
"(0.009, 'attack')","(0.01, 'talk')","(0.011, 'treatment')","(0.009, 'global')","(0.009, 'simple')","(0.007, 'thing')","(0.008, 'find')","(0.015, 'class')","(0.009, 'solar')","(0.01, 'cost')","(0.007, 'creature')","(0.009, 'kind')","(0.007, 'call')","(0.01, 'community')","(0.009, 'piece')","(0.009, 'friend')","(0.008, 'dinosaur')","(0.007, 'feel')","(0.007, 'flower')","(0.009, 'driver')","(0.017, 'happen')","(0.008, 'video')","(0.01, 'create')","(0.01, 'page')","(0.008, 'guy')","(0.009, 'mind')","(0.007, 'control')","(0.009, 'wrong')","(0.01, 'particle')","(0.009, 'ice')","(0.011, 'community')","(0.011, 'color')","(0.009, 'change')","(0.011, 'genome')","(0.008, 'village')"
"(0.008, 'peace')","(0.009, 'young')","(0.009, 'hospital')","(0.009, 'future')","(0.008, 'shape')","(0.007, 'team')","(0.008, 'web')","(0.012, 'high')","(0.009, 'material')","(0.009, 'sell')","(0.007, 'monkey')","(0.008, 'question')","(0.007, 'human')","(0.008, 'white')","(0.008, 'sing')","(0.009, 'live')","(0.007, 'place')","(0.007, 'run')","(0.007, 'crop')","(0.009, 'light')","(0.015, 'good')","(0.007, 'da')","(0.009, 'video')","(0.009, 'poem')","(0.007, 'cartoon')","(0.009, 'feeling')","(0.007, 'child')","(0.009, 'datum')","(0.008, 'energy')","(0.009, 'whale')","(0.01, 'street')","(0.011, 'photograph')","(0.009, 'vote')","(0.01, 'bacteria')","(0.008, 'poverty')"
